,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure
0,Samsung 75-in. television,"$1,689.99",,Mount-It MI-346L 17.3 in Articulating Full Motion Arm Wall Mount Bracket with Extension for LCD LED & 4K TV,$200.37,,
1,Lorex 8 channel DVR camera system,$399.99,,Lorex wireless security system with 4 cameras,$274.99,,
2,Details accent mat,$16.99,,Custom Printed Rugs DM 62 Lambson Moose Intruder Moose,$25.37,,
3,"Starbucks Caffè Verona
whole-bean coffee",$17.99,Starbucks,"Caffè Verona Capsules, Ground Coffee For Nespresso Vurtuo",$9.99,$9.99,/ 100g
4,Maple Leaf Natural Selections sliced oven roasted chicken breast,$13.99,Maple Leaf,Natural Selections Oven Roasted Chicken Breast,$6.49,$37.09,/ 1kg
5,"Downy Unstopables Fresh
in-wash scent booster",$15.99,Downy,"Downy Unstopables In-Wash Scent Booster Beads, FRESH",$9.99,$3.51,/ 100g
6,Glysomed hand cream,$11.89,Glysomed,Hand Cream,$6.99,$4.66,/ 100ml
7,Kirkland Signature multivitamin and minerals for men or women,$15.99,PC Blue Menu,"Thin & Crispy Vegetables, Spinach And Goat Cheese Pizza",$3.29,$0.91,/ 100g
8,Sponge Towels Premium paper towels,$17.99,,Swedish Dishcloth Cellulose Sponge Cloth Reusable Cleaning Towels for Kitchen 2pcs - LIVINGbasics - Style 03,$9.99,,
