,Costco-Brand,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure,lowercase_Costco,lowercase_RCS,no_sw_Costco,no_sw_RCS,lowercase_item_similarity,no_sw_item_similarity
96,Gillette Fusion, ProGlide Power,$53.99 ,Gillette,Fusion5 Proglide Power Men'S Razor Blades 4 Refills,$27.99,$7.00,/ 1ea, proglide power,fusion5 proglide power men's razor blades 4 refills, proglide power, fusion5 proglide power 's razor blades 4 refills,0.5710495429004632,0.5619798912671351
97,Kirkland Signature,men's and women's protective underwear,$26.99 ,Depends,"Incontinence Protection with Tabs, Maximum Absorbency, L, 16 Count",$18.49,$1.16,/ 1ea,men's and women's protective underwear,"incontinence protection with tabs, maximum absorbency, l, 16 count", 's women 's protective underwear," incontinence protection tabs , maximum absorbency , , 16 count",0.4633207078100224,0.3158732293923276
98,Downy Unstopables ,Fresh in-wash scent booster,$17.49 ,Downy,"Unstopables In-Wash Scent Booster Beads, FRESH,",$16.99,$2.98,/ 100g,fresh in-wash scent booster,"unstopables in-wash scent booster beads, fresh,", fresh in-wash scent booster," unstopables in-wash scent booster beads , fresh ,",0.8995102605928336,0.8995102485116693
99,Finish Powerball Quantum Ultimate+ ,clean & shine dishwasher detergent,$17.49 ,President's Choice,Detergent And Rinse Agent Citrus Scent Dishwasher Detergent Tabs,$14.99,$0.17,/ 1ea,clean & shine dishwasher detergent,detergent and rinse agent citrus scent dishwasher detergent tabs, clean & shine dishwasher detergent, detergent rinse agent citrus scent dishwasher detergent tabs,0.5184874615109346,0.49187241569227247
100,Gain ,Coldwater liquid laundry detergent,$14.99 ,Purex,Coldwater Laundry Liquid,$7.99,$0.39,/ 100ml,coldwater liquid laundry detergent,coldwater laundry liquid, coldwater liquid laundry detergent, coldwater laundry liquid,0.9717076433305483,0.9717075578470441
101,Gain ,original liquid fabric softener,$14.49 ,Gain,"Fabric Softener, Original, 120 Loads, He Compatible",$12.99,$0.43,/ 100ml,original liquid fabric softener,"fabric softener, original, 120 loads, he compatible", original liquid fabric softener," fabric softener , original , 120 loads , compatible",0.5779995146852187,0.6362481328576319
102,Swiffer ,dry or wet refills,$15.99 ,Swiffer,"Sweeper Dry + Wet Sweeping Kit 1 Sweeper, 7 Dry Cloths, 3 Wet Cloths",$17.99,$17.99,/ 1ea,dry or wet refills,"sweeper dry + wet sweeping kit 1 sweeper, 7 dry cloths, 3 wet cloths", dry wet refills," sweeper dry + wet sweeping kit 1 sweeper , 7 dry cloths , 3 wet cloths",0.5966061479407301,0.6890040229431171
103,Mr. Clean ,Magic Eraser cleaning pads,$9.99 ,Mr. Clean,Magic Eraser,$3.99,$2.00,/ 1ea,magic eraser cleaning pads,magic eraser, magic eraser cleaning pads, magic eraser,0.7334262399430818,0.7334262016025821
104,Cesar Entrees, wet dog food,$29.59 ,President's Choice,"Dog Food, Extra Meaty Beef Bacon & Cheese Dinner",$2.09,$0.56,/ 100g, wet dog food,"dog food, extra meaty beef bacon & cheese dinner", wet food," food , extra meaty beef bacon & cheese dinner",0.6659438147570109,0.5866743717776945
105,Zoe Super Bars,salmon flavoured dog treats,$15.99 ,Purina,"One Dog Treats, True Instinct Bites with Salmon",$5.29,$2.67,/ 100g,salmon flavoured dog treats,"one dog treats, true instinct bites with salmon", salmon flavoured treats," treats , instinct bites salmon",0.7531943226433413,0.7645774574192251
