,Costco-Item,Costco-Price,RCS-Brand,RCS-Item,RCS-Price,RCS-Unit Price,RCS-Unit Measure,lowercase_Costco,lowercase_RCS,no_sw_Costco,no_sw_RCS,lowercase_item_similarity,no_sw_item_similarity,matches,RCS-Price_flt,rcs_amount,Costco-Price_flt,costco_amount
20,Clif Builders protein bars,$16.49 ,Clif,"Builders Protein Builder's Bar, Chocolate Mint",$2.19 ,$3.22 ,/ 100g,clif builders protein bars,"builders protein builder's bar, chocolate mint", clif builders protein bars," builders protein builder 's bar , chocolate",0.713576096,0.717702389,1,2.19,68,16.49,1224
21,Kellogg’s Vector cereal,$7.99 ,Kelloggs,Vector Meal Replacement Cereal,$9.49 ,$1.12 ,/ 100g,kellogg’s vector cereal,vector meal replacement cereal, kellogg ’ vector cereal, vector meal replacement cereal,0.423856118,0.378273203,1,9.49,847,7.99,1130
22,San Pellegrino Naturali Italian sparkling drinks,$14.99 ,San Pellegrino,Naturali Pompelmo Sparkling Grapefruit Beverage,$5.99 ,$0.30 ,/ 100ml,san pellegrino naturali italian sparkling drinks,naturali pompelmo sparkling grapefruit beverage, san pellegrino naturali italian sparkling drinks, naturali pompelmo sparkling grapefruit beverage,0.719025241,0.719025282,1,5.99,1997,14.99,7920
23,Splenda no calorie sweetener,$19.99 ,Splenda,Granular,$6.29 ,$5.72 ,/ 100g,splenda no calorie sweetener,granular, splenda calorie sweetener, granular,0.269683198,0.345901254,1,6.29,110,19.99,715
24,Olive Garden Italian dressing,$7.99 ,Olive Garden,Italian Dressing,$4.89 ,$1.03 ,/ 100ml,olive garden italian dressing,italian dressing, olive garden italian dressing, italian dressing,0.813844374,0.813844347,1,4.89,475,7.99,NA
25,Beyond Burger plant-based burgers,$14.99 ,Beyond Meat,Beyond Burger Plant-Based,$7.49 ,$3.31 ,/ 100g,beyond burger plant-based burgers,beyond burger plant-based, burger plant-based burgers, burger plant-based,0.982629353,0.980354613,1,7.49,226,14.99,678
26,Activia yogurt,$7.49 ,Activia,"Probiotic Yogurt, Strawberry/Blueberry/Raspberry/Peach Flavour",$5.99 ,$0.50 ,/ 100g,activia yogurt,"probiotic yogurt, strawberry/blueberry/raspberry/peach flavour", activia yogurt," probiotic yogurt , strawberry/blueberry/raspberry/peach flavour",0.327386384,0.327386436,1,5.99,1198,7.49,NA
27,Align probiotic supplement,$39.99 ,Align,"Daily Probiotic Supplement, 50 Gummies",$24.49 ,$0.49 ,/ 1ea,align probiotic supplement,"daily probiotic supplement, 50 gummies", align probiotic supplement," daily probiotic supplement , 50 gummies",0.588032538,0.58803261,1,24.49,50,39.99,63
28,RestoraLAX laxative,$30.99 ,Restoralax,"Powder Laxative, Effective Relief, No Taste, No Grit",$34.49 ,$4.51 ,/ 100g,restoralax laxative,"powder laxative, effective relief, no taste, no grit", restoralax laxative," powder laxative , effective relief , taste , grit",0.555537847,0.699498203,1,34.49,765,30.99,1224
29,Dove Men + Care Clean Comfort dry antiperspirant spray,$12.99 ,Dove,Men+Care Dry Spray Antiperspirant CleanComfort ,$4.00 ,$14.29 ,/ 100g,dove men + care clean comfort dry antiperspirant spray,men+care dry spray antiperspirant cleancomfort , + clean comfort dry antiperspirant spray, men+care dry spray antiperspirant cleancomfort,0.675440841,0.773496567,1,4,28,12.99,380
30,Dove Men + Care Extra Fresh bars,$12.99 ,Dove,Men+Care Body And Face Bar for Refreshed Skin Extra Fresh,$6.49 ,$2.04 ,/ 100g,dove men + care extra fresh bars,men+care body and face bar for refreshed skin extra fresh, + extra fresh bars, men+care body bar refreshed skin extra fresh,0.55996237,0.506863105,1,6.49,318,12.99,1696
31,Hydrasense eye drops advanced,$18.99 ,Hydrasense,"Advanced Eye Drops, For Dry Eyes, Preservative Free",$21.99 ,$109.95 ,/ 100ml,hydrasense eye drops advanced,"advanced eye drops, for dry eyes, preservative free", hydrasense eye drops advanced," advanced eye drops , dry eyes , preservative free",0.721671481,0.757146231,1,21.99,20,18.99,30
32,Jamieson calcium and magnesium with vitamin D3,$7.99 ,Jamieson,Calcium Magnesium with Vitamin D3,$11.49 ,$0.06 ,/ 1ea,jamieson calcium and magnesium with vitamin d3,calcium magnesium with vitamin d3, jamieson calcium magnesium vitamin d3, calcium magnesium vitamin d3,0.950927008,0.999999969,1,11.49,192,7.99,420
33,Webber Naturals melatonin,$9.99 ,Webber Naturals,"Melatonin 10mg, Maximum Strength",$10.11 ,$0.14 ,/ 1ea,webber naturals melatonin,"melatonin 10mg, maximum strength", webber naturals melatonin," melatonin 10mg , maximum strength",0.385881743,0.385881747,1,10.11,72,9.99,300
34,Olay Total Effects nourishing moisturizer,$28.99 ,Olay,"Total Effects Nourishing Cream Cleanser Face Wash, 150 mL",$11.99 ,$7.99 ,/ 100ml,olay total effects nourishing moisturizer,"total effects nourishing cream cleanser face wash, 150 ml", olay total effects nourishing moisturizer," total effects nourishing cream cleanser wash , 150 ml",0.777516066,0.779766646,1,11.99,150,28.99,NA
35,Aveeno stress relief body wash,$14.99 ,Aveeno,Stress Relief Body Wash,$9.99 ,$1.88 ,/ 100ml,aveeno stress relief body wash,stress relief body wash, aveeno stress relief body wash, stress relief body wash,0.998015945,0.998015952,1,9.99,531,14.99,1596
36,G.U.M. Soft-Picks Advanced,$13.99 ,Gum,Soft-Picks Advanced Dental Picks ,$7.99 ,$0.13 ,/ 1ea,g.u.m. soft-picks advanced,soft-picks advanced dental picks , g.u.m . soft-picks advanced, soft-picks advanced dental picks,0.900996564,0.900996538,1,7.99,61,13.99,270
37,Gillette Fusion ProGlide Power,$53.99 ,Gillette,Fusion Proglide Cartridges Microcomb,$44.99 ,$5.62 ,/ 1ea,gillette fusion proglide power,fusion proglide cartridges microcomb, gillette fusion proglide power, fusion proglide cartridges microcomb,0.760435636,0.760435657,1,44.99,8,53.99,18
38,Vaseline Cocoa Radiant lotion,$8.99 ,Vaseline,Men Intensive Care Body Lotion Cocoa Radiant,$6.99 ,$2.37 ,/ 100ml,vaseline cocoa radiant lotion,men intensive care body lotion cocoa radiant, vaseline cocoa radiant lotion, intensive body lotion cocoa radiant,0.737562146,0.883779051,1,6.99,295,8.99,1495
39,Downy Unstopables Fresh in-wash scent booster,$17.49 ,Downy,"Unstopable In-Wash Scent Booster Beads, Fresh",$14.99 ,$3.55 ,/ 100g,downy unstopables fresh in-wash scent booster,"unstopable in-wash scent booster beads, fresh", downy unstopables fresh in-wash scent booster," unstopable in-wash scent booster beads , fresh",0.952703602,0.952703664,1,14.99,422,17.49,1060
40,Gain original liquid fabric softener,$14.49 ,Gain,"Fabric Softener, Original, 120 Loads, He Compatible",$12.99 ,$0.43 ,/ 100ml,gain original liquid fabric softener,"fabric softener, original, 120 loads, he compatible", original liquid fabric softener," fabric softener , original , 120 loads , compatible",0.575182919,0.636248133,1,12.99,3021,14.49,5030
41,Swiffer dry or wet refills,$15.99 ,Swiffer,"Sweeper Dry + Wet Sweeping Kit 1 Sweeper, 7 Dry Cloths, 3 Wet Cloths",$17.99 ,$17.99 ,/ 1ea,swiffer dry or wet refills,"sweeper dry + wet sweeping kit 1 sweeper, 7 dry cloths, 3 wet cloths", swiffer dry wet refills," sweeper dry + wet sweeping kit 1 sweeper , 7 dry cloths , 3 wet cloths",0.596606157,0.689003984,1,17.99,,15.99,
42,Mr. Clean Magic Eraser cleaning pads,$9.99 ,Mr. Clean,Magic Eraser,$3.99 ,$2.00 ,/ 1ea,mr. clean magic eraser cleaning pads,magic eraser, mr. clean magic eraser cleaning pads, magic eraser,0.599856502,0.599856458,1,3.99,2,9.99,9
43,Cesar Entrées wet dog food,$29.59 ,,CESAR® ENTRÉES FILET MIGNON FLAVOUR 100g 1Pc,$10.23 ,,,cesar entrées wet dog food,cesar® entrées filet mignon flavour 100g 1pc, cesar entrées wet food, cesar® entrées filet mignon flavour 100g 1pc,0.279624699,0.32167878,1,10.23,,29.59,
